period,roc_year,year,month,area,sex,age,population,age_scope
109年 5月,109,2020,5.0,雲林縣,性別總計,0,3950,single age
109年 5月,109,2020,5.0,雲林縣,男,0,2049,single age
109年 5月,109,2020,5.0,雲林縣,女,0,1901,single age
109年 5月,109,2020,5.0,嘉義縣,性別總計,0,2725,single age
109年 5月,109,2020,5.0,嘉義縣,男,0,1390,single age
109年 5月,109,2020,5.0,嘉義縣,女,0,1335,single age
109年 5月,109,2020,5.0,屏東縣,性別總計,0,4449,single age
109年 5月,109,2020,5.0,屏東縣,男,0,2335,single age
109年 5月,109,2020,5.0,屏東縣,女,0,2114,single age
109年 5月,109,2020,5.0,臺東縣,性別總計,0,1365,single age
109年 5月,109,2020,5.0,臺東縣,男,0,728,single age
109年 5月,109,2020,5.0,臺東縣,女,0,637,single age
109年 5月,109,2020,5.0,花蓮縣,性別總計,0,2126,single age
109年 5月,109,2020,5.0,花蓮縣,男,0,1111,single age
109年 5月,109,2020,5.0,花蓮縣,女,0,1015,single age
109年 5月,109,2020,5.0,澎湖縣,性別總計,0,910,single age
109年 5月,109,2020,5.0,澎湖縣,男,0,444,single age
109年 5月,109,2020,5.0,澎湖縣,女,0,466,single age
109年 5月,109,2020,5.0,基隆市,性別總計,0,1919,single age
109年 5月,109,2020,5.0,基隆市,男,0,996,single age
109年 5月,109,2020,5.0,基隆市,女,0,923,single age
109年 5月,109,2020,5.0,新竹市,性別總計,0,3713,single age
109年 5月,109,2020,5.0,新竹市,男,0,1967,single age
109年 5月,109,2020,5.0,新竹市,女,0,1746,single age
109年 5月,109,2020,5.0,嘉義市,性別總計,0,1509,single age
109年 5月,109,2020,5.0,嘉義市,男,0,759,single age
109年 5月,109,2020,5.0,嘉義市,女,0,750,single age
109年 5月,109,2020,5.0,金門縣,性別總計,0,1012,single age
109年 5月,109,2020,5.0,金門縣,男,0,513,single age
109年 5月,109,2020,5.0,金門縣,女,0,499,single age
109年 5月,109,2020,5.0,連江縣,性別總計,0,129,single age
109年 5月,109,2020,5.0,連江縣,男,0,69,single age
109年 5月,109,2020,5.0,連江縣,女,0,60,single age
109年 6月,109,2020,6.0,區域別總計,性別總計,0,162701,single age
109年 6月,109,2020,6.0,區域別總計,男,0,84310,single age
109年 6月,109,2020,6.0,區域別總計,女,0,78391,single age
109年 6月,109,2020,6.0,新北市,性別總計,0,26344,single age
109年 6月,109,2020,6.0,新北市,男,0,13650,single age
109年 6月,109,2020,6.0,新北市,女,0,12694,single age
109年 6月,109,2020,6.0,臺北市,性別總計,0,19144,single age
109年 6月,109,2020,6.0,臺北市,男,0,9934,single age
109年 6月,109,2020,6.0,臺北市,女,0,9210,single age
109年 6月,109,2020,6.0,桃園市,性別總計,0,20532,single age
109年 6月,109,2020,6.0,桃園市,男,0,10635,single age
109年 6月,109,2020,6.0,桃園市,女,0,9897,single age
109年 6月,109,2020,6.0,臺中市,性別總計,0,19913,single age
109年 6月,109,2020,6.0,臺中市,男,0,10293,single age
109年 6月,109,2020,6.0,臺中市,女,0,9620,single age
109年 6月,109,2020,6.0,臺南市,性別總計,0,11002,single age
109年 6月,109,2020,6.0,臺南市,男,0,5742,single age
109年 6月,109,2020,6.0,臺南市,女,0,5260,single age
109年 6月,109,2020,6.0,高雄市,性別總計,0,17994,single age
109年 6月,109,2020,6.0,高雄市,男,0,9266,single age
109年 6月,109,2020,6.0,高雄市,女,0,8728,single age
109年 6月,109,2020,6.0,宜蘭縣,性別總計,0,2817,single age
109年 6月,109,2020,6.0,宜蘭縣,男,0,1414,single age
109年 6月,109,2020,6.0,宜蘭縣,女,0,1403,single age
109年 6月,109,2020,6.0,新竹縣,性別總計,0,4419,single age
