year,source_file,raw_column,inferred_age_group,sex,employed_share_percent,age_harmonization_status,label_confidence
2013,ntpc_employed_age_structure.csv,percent21,65+,female,0.59,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2014,ntpc_employed_age_structure.csv,percent2,15-24,male,6.29,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2014,ntpc_employed_age_structure.csv,percent3,15-24,female,8.13,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2014,ntpc_employed_age_structure.csv,percent4,25-29,male,11.26,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2014,ntpc_employed_age_structure.csv,percent5,25-29,female,13.59,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2014,ntpc_employed_age_structure.csv,percent6,30-34,male,14.92,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2014,ntpc_employed_age_structure.csv,percent7,30-34,female,16.38,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2014,ntpc_employed_age_structure.csv,percent8,35-39,male,14.35,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2014,ntpc_employed_age_structure.csv,percent9,35-39,female,15.45,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2014,ntpc_employed_age_structure.csv,percent10,40-44,male,13.13,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2014,ntpc_employed_age_structure.csv,percent11,40-44,female,13.47,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2014,ntpc_employed_age_structure.csv,percent12,45-49,male,12.66,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2014,ntpc_employed_age_structure.csv,percent13,45-49,female,12.66,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2014,ntpc_employed_age_structure.csv,percent14,50-54,male,12.1,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2014,ntpc_employed_age_structure.csv,percent15,50-54,female,10.45,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2014,ntpc_employed_age_structure.csv,percent16,55-59,male,9.1,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2014,ntpc_employed_age_structure.csv,percent17,55-59,female,6.85,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2014,ntpc_employed_age_structure.csv,percent18,60-64,male,4.88,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2014,ntpc_employed_age_structure.csv,percent19,60-64,female,2.56,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2014,ntpc_employed_age_structure.csv,percent20,65+,male,1.31,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2014,ntpc_employed_age_structure.csv,percent21,65+,female,0.46,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2015,ntpc_employed_age_structure.csv,percent2,15-24,male,6.52,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2015,ntpc_employed_age_structure.csv,percent3,15-24,female,8.03,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2015,ntpc_employed_age_structure.csv,percent4,25-29,male,11.18,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2015,ntpc_employed_age_structure.csv,percent5,25-29,female,13.42,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2015,ntpc_employed_age_structure.csv,percent6,30-34,male,14.26,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2015,ntpc_employed_age_structure.csv,percent7,30-34,female,15.6,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2015,ntpc_employed_age_structure.csv,percent8,35-39,male,14.54,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2015,ntpc_employed_age_structure.csv,percent9,35-39,female,15.37,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2015,ntpc_employed_age_structure.csv,percent10,40-44,male,12.95,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
2015,ntpc_employed_age_structure.csv,percent11,40-44,female,13.76,Proxy for 18-35,"unresolved; provisional pattern inference, official metadata absent from raw CSV"
